accuracy,loss,val_accuracy,val_loss
0.6675823926925659,0.6806167960166931,0.8791208863258362,0.4938882291316986
0.8736263513565063,0.4239434003829956,0.9450549483299255,0.3238203525543213
0.9175823926925659,0.2776482403278351,0.9450549483299255,0.2313668429851532
0.9478021860122681,0.2207394242286682,0.9560439586639404,0.17899976670742035
0.9532967209815979,0.1717817485332489,0.9670329689979553,0.14597326517105103
0.9615384340286255,0.14040465652942657,0.9670329689979553,0.12277458608150482
0.9670329689979553,0.13667263090610504,0.9670329689979553,0.10494226217269897
0.9752747416496277,0.1056860014796257,0.9670329689979553,0.09174954891204834
0.9780219793319702,0.09811865538358688,0.9780219793319702,0.08214489370584488
0.9835164546966553,0.08475857228040695,0.9670329689979553,0.07589414715766907
0.9807692170143127,0.0772111788392067,0.9780219793319702,0.07158403098583221
0.9780219793319702,0.07789120078086853,0.9780219793319702,0.06592944264411926
0.9807692170143127,0.07613271474838257,0.9780219793319702,0.0623723529279232
0.9835164546966553,0.07134364545345306,0.9780219793319702,0.059743743389844894
0.9780219793319702,0.06990606337785721,0.9780219793319702,0.05984661728143692
0.9862637519836426,0.055758167058229446,0.9780219793319702,0.05978501960635185
0.9807692170143127,0.064185731112957,0.9780219793319702,0.05820653215050697
0.9862637519836426,0.0558081716299057,0.9780219793319702,0.05469702556729317
0.9862637519836426,0.051759272813797,0.9780219793319702,0.052132438868284225
0.9862637519836426,0.05473192408680916,0.9780219793319702,0.049542684108018875
0.9917582273483276,0.04411247745156288,0.9890109896659851,0.04649297520518303
0.9835164546966553,0.054384853690862656,0.9780219793319702,0.04651671275496483
0.9835164546966553,0.047348927706480026,0.9780219793319702,0.046131208539009094
0.9890109896659851,0.042071595788002014,0.9780219793319702,0.04491504654288292
0.9917582273483276,0.03886399418115616,0.9890109896659851,0.04240485653281212
0.9862637519836426,0.041214071214199066,0.9890109896659851,0.04114902764558792
0.9890109896659851,0.033957891166210175,0.9890109896659851,0.04036521539092064
0.9945054650306702,0.02955455332994461,0.9890109896659851,0.03927266597747803
0.9917582273483276,0.03882797062397003,0.9780219793319702,0.03926199674606323
0.9862637519836426,0.044064268469810486,0.9890109896659851,0.03883013874292374
0.9917582273483276,0.024398598819971085,0.9890109896659851,0.038834232836961746
0.9890109896659851,0.03232116624712944,0.9890109896659851,0.03844381868839264
0.9945054650306702,0.024123353883624077,0.9890109896659851,0.03764583170413971
0.9917582273483276,0.03454427048563957,0.9890109896659851,0.03783642128109932
0.9862637519836426,0.02656833454966545,0.9890109896659851,0.03695664927363396
0.9917582273483276,0.026560025289654732,0.9890109896659851,0.03509814292192459
0.9945054650306702,0.0224395040422678,0.9890109896659851,0.03598732128739357
0.9917582273483276,0.02818801812827587,0.9890109896659851,0.037376973778009415
0.9917582273483276,0.030620111152529716,0.9890109896659851,0.03598823770880699
0.9917582273483276,0.02389112487435341,0.9890109896659851,0.03457001596689224
0.9890109896659851,0.027783969417214394,0.9890109896659851,0.0352061465382576
0.9890109896659851,0.031221583485603333,0.9890109896659851,0.03842229023575783
0.9945054650306702,0.023713596165180206,0.9890109896659851,0.03535021096467972
0.9917582273483276,0.023081373423337936,0.9890109896659851,0.03412103280425072
0.9945054650306702,0.018518993631005287,0.9890109896659851,0.034352414309978485
0.9972527623176575,0.01605335623025894,0.9890109896659851,0.034793708473443985
0.9862637519836426,0.029383989050984383,0.9890109896659851,0.03319303318858147
0.9890109896659851,0.021610058844089508,0.9890109896659851,0.031569790095090866
0.9917582273483276,0.02081623114645481,0.9890109896659851,0.02830451726913452
1.0,0.010638856329023838,0.9890109896659851,0.02703588642179966
1.0,0.009476162493228912,0.9890109896659851,0.0255618654191494
0.9945054650306702,0.014870676212012768,0.9890109896659851,0.027777761220932007
0.9945054650306702,0.019274067133665085,0.9890109896659851,0.02970290742814541
0.9972527623176575,0.014273022301495075,0.9890109896659851,0.028042394667863846
0.9972527623176575,0.010044545866549015,0.9890109896659851,0.025221416726708412
0.9945054650306702,0.015148993581533432,0.9890109896659851,0.02410939522087574
0.9890109896659851,0.022805768996477127,1.0,0.02312161587178707
0.9945054650306702,0.012156379409134388,1.0,0.023881815373897552
0.9972527623176575,0.01373430248349905,0.9780219793319702,0.029607340693473816
0.9917582273483276,0.01879061572253704,0.9780219793319702,0.03300129622220993
1.0,0.010483087971806526,0.9780219793319702,0.029491843655705452
0.9945054650306702,0.014832573011517525,0.9890109896659851,0.0227802824229002
1.0,0.007691845763474703,0.9890109896659851,0.021816374734044075
0.9945054650306702,0.011505665257573128,0.9890109896659851,0.02348024770617485
0.9945054650306702,0.014737695455551147,0.9890109896659851,0.024824781343340874
0.9945054650306702,0.01771647110581398,0.9780219793319702,0.02486337721347809
1.0,0.0099739208817482,1.0,0.020807934924960136
0.9972527623176575,0.009993684478104115,1.0,0.01907893642783165
0.9945054650306702,0.010633965954184532,1.0,0.020064296200871468
0.9945054650306702,0.012222951278090477,0.9890109896659851,0.01964605040848255
0.9945054650306702,0.013557221740484238,0.9890109896659851,0.020798714831471443
1.0,0.0083659328520298,0.9890109896659851,0.02289961464703083
0.9972527623176575,0.010561453178524971,0.9890109896659851,0.021590877324342728
0.9972527623176575,0.00702242273837328,1.0,0.019987059757113457
0.9972527623176575,0.005204342771321535,0.9890109896659851,0.021108780056238174
1.0,0.004818023648113012,0.9890109896659851,0.020780345425009727
1.0,0.004673284478485584,1.0,0.019928960129618645
0.9972527623176575,0.009561854414641857,0.9890109896659851,0.018650932237505913
0.9972527623176575,0.007295319810509682,1.0,0.016751553863286972
1.0,0.006377052050083876,0.9890109896659851,0.02006555162370205
1.0,0.005391918122768402,0.9890109896659851,0.02033090777695179
1.0,0.0049042548052966595,0.9890109896659851,0.019096072763204575
0.9972527623176575,0.009194593876600266,0.9890109896659851,0.017403172329068184
0.9972527623176575,0.008959279395639896,0.9890109896659851,0.019884178414940834
