cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
0.9424999952316284,0.16720035672187805,0.9528124928474426,0.11409498006105423,0.28129538893699646,1.0,5.1318027544766665e-05,1.0,0.0002926965244114399,0.0003356555534992367,0.0010000000474974513
0.9996874928474426,0.0015779254026710987,1.0,0.0008766857790760696,0.002454611239954829,1.0,6.157316875032848e-06,1.0,7.841830665711313e-05,8.173279638867825e-05,0.0010000000474974513
1.0,0.0006071964162401855,1.0,0.00043071608524769545,0.0010379125596955419,1.0,2.0677941847679904e-06,1.0,3.8711110391886905e-05,3.931781611754559e-05,0.0010000000474974513
1.0,0.00019808340584859252,1.0,0.0002873807679861784,0.0004854641738347709,1.0,7.38138794531551e-07,1.0,1.571699613123201e-05,1.5883730156929232e-05,0.0010000000474974513
1.0,0.00029728884692303836,1.0,0.00015057051496114582,0.00044785934733226895,1.0,2.6422941346027073e-07,1.0,9.184507689496968e-06,9.052425411937293e-06,0.0010000000474974513
1.0,0.0001271672226721421,1.0,0.00010445629595778883,0.00023162346042227,1.0,1.08033368917404e-07,1.0,6.145965926407371e-06,5.961832357570529e-06,0.0010000000474974513
1.0,0.000121567994938232,1.0,7.228273170767352e-05,0.00019385074847377837,1.0,4.7896580923634247e-08,1.0,4.458088824321749e-06,4.352246378402924e-06,0.0010000000474974513
1.0,5.9111804148415104e-05,1.0,9.226256952388212e-05,0.00015137439186219126,1.0,4.7896580923634247e-08,1.0,3.5110181215713965e-06,3.453101271588821e-06,0.0005000000237487257
1.0,6.177644536364824e-05,1.0,6.381070852512494e-05,0.00012558714661281556,1.0,3.5922436580904105e-08,1.0,2.5972892672143644e-06,2.543793470977107e-06,0.0005000000237487257
1.0,4.2483625293243676e-05,1.0,6.176081660669297e-05,0.00010424444189993665,1.0,3.166496398421259e-08,1.0,1.9549399894458475e-06,1.921035618579481e-06,0.0005000000237487257
1.0,5.350558421923779e-05,1.0,3.4905631764559075e-05,8.841121598379686e-05,1.0,2.3948292238173963e-08,1.0,1.6723885210012668e-06,1.6438555121567333e-06,0.0005000000237487257
1.0,0.00021005221060477197,1.0,3.908848884748295e-05,0.0002491407503839582,1.0,2.3682201089059163e-08,1.0,2.322102091056877e-06,2.219007001258433e-06,0.0005000000237487257
1.0,3.419457789277658e-05,1.0,4.476392496144399e-05,7.89585174061358e-05,1.0,1.1974146119086981e-08,1.0,1.9488518319121795e-06,1.8638384062796831e-06,0.0002500000118743628
1.0,0.00010410623508505523,1.0,3.5824519727611914e-05,0.00013993075117468834,1.0,1.1974146119086981e-08,1.0,1.7172086472783121e-06,1.650018930376973e-06,0.0002500000118743628
1.0,4.066572000738233e-05,1.0,9.440221037948504e-05,0.000135067937662825,1.0,1.1974146119086981e-08,1.0,1.4744588270332315e-06,1.4274619388743304e-06,0.0002500000118743628
